time,PX4_0_position,PX4_1_position,PX4_2_position,PX4_3_position,PX4_4_position,PX4_5_position,PX4_6_position,PX4_7_position,PX4_8_position,PX4_9_position,PX4_10_position
6.270408630371094e-05,"[None, None, None]","[None, None, None]","[None, None, None]","[50.34043502807617, -29.90180015563965, 15.24141788482666]","[65.44036865234375, -60.09125900268555, 15.075617790222168]","[80.45176696777344, -70.07393646240234, 14.9990816116333]","[84.79800415039062, 84.79447937011719, 15.461159706115723]","[89.75823974609375, 89.75475311279297, 15.476393699645996]","[None, None, None]","[None, None, None]","[None, None, None]"
0.050269126892089844,"[30.138710021972656, -30.26460838317871, 15.433051109313965]","[20.2646484375, -9.856066703796387, 15.435935020446777]","[40.328495025634766, -24.935922622680664, 15.345980644226074]","[50.34043502807617, -29.90180015563965, 15.24141788482666]","[65.44036865234375, -60.09125900268555, 15.075617790222168]","[80.45176696777344, -70.07393646240234, 14.9990816116333]","[84.79800415039062, 84.79447937011719, 15.461159706115723]","[89.75823974609375, 89.75475311279297, 15.476393699645996]","[103.96371459960938, 93.79679107666016, 15.664257049560547]","[82.97744750976562, 98.10942840576172, 15.89956283569336]","[83.73995971679688, 99.75125122070312, 15.484323501586914]"
0.10048294067382812,"[30.138710021972656, -30.26460838317871, 15.433051109313965]","[20.2646484375, -9.856066703796387, 15.435935020446777]","[40.328495025634766, -24.935922622680664, 15.345980644226074]","[50.34043502807617, -29.90180015563965, 15.24141788482666]","[65.44036865234375, -60.09125900268555, 15.075617790222168]","[80.45176696777344, -70.07393646240234, 14.9990816116333]","[84.79800415039062, 84.79447937011719, 15.461159706115723]","[89.75823974609375, 89.75475311279297, 15.476393699645996]","[103.96371459960938, 93.79679107666016, 15.664257049560547]","[82.97744750976562, 98.10942840576172, 15.89956283569336]","[83.73995971679688, 99.75125122070312, 15.484323501586914]"
0.15027499198913574,"[30.138710021972656, -30.26460838317871, 15.433051109313965]","[20.2646484375, -9.856066703796387, 15.435935020446777]","[40.328495025634766, -24.935922622680664, 15.345980644226074]","[50.34043502807617, -29.90180015563965, 15.24141788482666]","[65.44036865234375, -60.09125900268555, 15.075617790222168]","[80.45176696777344, -70.07393646240234, 14.9990816116333]","[84.79800415039062, 84.79447937011719, 15.461159706115723]","[89.75823974609375, 89.75475311279297, 15.476393699645996]","[103.96371459960938, 93.79679107666016, 15.664257049560547]","[82.97744750976562, 98.10942840576172, 15.89956283569336]","[83.73995971679688, 99.75125122070312, 15.484323501586914]"
0.20037031173706055,"[30.138710021972656, -30.26460838317871, 15.433051109313965]","[20.2646484375, -9.856066703796387, 15.435935020446777]","[40.328495025634766, -24.935922622680664, 15.345980644226074]","[50.34043502807617, -29.90180015563965, 15.24141788482666]","[65.44036865234375, -60.09125900268555, 15.075617790222168]","[80.45176696777344, -70.07393646240234, 14.9990816116333]","[84.79800415039062, 84.79447937011719, 15.461159706115723]","[89.75823974609375, 89.75475311279297, 15.476393699645996]","[103.96371459960938, 93.79679107666016, 15.664257049560547]","[82.97744750976562, 98.10942840576172, 15.89956283569336]","[83.73995971679688, 99.75125122070312, 15.484323501586914]"
0.2503032684326172,"[30.138710021972656, -30.26460838317871, 15.433051109313965]","[20.2646484375, -9.856066703796387, 15.435935020446777]","[40.328495025634766, -24.935922622680664, 15.345980644226074]","[50.34043502807617, -29.90180015563965, 15.24141788482666]","[65.44036865234375, -60.09125900268555, 15.075617790222168]","[80.45176696777344, -70.07393646240234, 14.9990816116333]","[84.79800415039062, 84.79447937011719, 15.461159706115723]","[89.75823974609375, 89.75475311279297, 15.476393699645996]","[103.96371459960938, 93.79679107666016, 15.664257049560547]","[82.97744750976562, 98.10942840576172, 15.89956283569336]","[83.73995971679688, 99.75125122070312, 15.484323501586914]"
0.30191540718078613,"[30.138710021972656, -30.26460838317871, 15.433051109313965]","[20.2646484375, -9.856066703796387, 15.435935020446777]","[40.328495025634766, -24.935922622680664, 15.345980644226074]","[50.34043502807617, -29.90180015563965, 15.24141788482666]","[65.44036865234375, -60.09125900268555, 15.075617790222168]","[80.45176696777344, -70.07393646240234, 14.9990816116333]","[84.79800415039062, 84.79447937011719, 15.461159706115723]","[89.75823974609375, 89.75475311279297, 15.476393699645996]","[103.96371459960938, 93.79679107666016, 15.664257049560547]","[82.97744750976562, 98.10942840576172, 15.89956283569336]","[83.73995971679688, 99.75125122070312, 15.484323501586914]"
0.3502390384674072,"[30.138710021972656, -30.26460838317871, 15.433051109313965]","[20.2646484375, -9.856066703796387, 15.435935020446777]","[40.328495025634766, -24.935922622680664, 15.345980644226074]","[50.34043502807617, -29.90180015563965, 15.24141788482666]","[65.44036865234375, -60.09125900268555, 15.075617790222168]","[80.45176696777344, -70.07393646240234, 14.9990816116333]","[84.79800415039062, 84.79447937011719, 15.461159706115723]","[89.75823974609375, 89.75475311279297, 15.476393699645996]","[103.96371459960938, 93.79679107666016, 15.664257049560547]","[82.97744750976562, 98.10942840576172, 15.89956283569336]","[83.73995971679688, 99.75125122070312, 15.484323501586914]"
0.4002952575683594,"[30.138710021972656, -30.26460838317871, 15.433051109313965]","[20.2646484375, -9.856066703796387, 15.435935020446777]","[40.328495025634766, -24.935922622680664, 15.345980644226074]","[50.34043502807617, -29.90180015563965, 15.24141788482666]","[65.44036865234375, -60.09125900268555, 15.075617790222168]","[80.45176696777344, -70.07393646240234, 14.9990816116333]","[84.79800415039062, 84.79447937011719, 15.461159706115723]","[89.75823974609375, 89.75475311279297, 15.476393699645996]","[103.96371459960938, 93.79679107666016, 15.664257049560547]","[82.97744750976562, 98.10942840576172, 15.89956283569336]","[83.73995971679688, 99.75125122070312, 15.484323501586914]"
0.4502449035644531,"[30.138710021972656, -30.26460838317871, 15.433051109313965]","[20.2646484375, -9.856066703796387, 15.435935020446777]","[40.328495025634766, -24.935922622680664, 15.345980644226074]","[50.34043502807617, -29.90180015563965, 15.24141788482666]","[65.44036865234375, -60.09125900268555, 15.075617790222168]","[80.45176696777344, -70.07393646240234, 14.9990816116333]","[84.79800415039062, 84.79447937011719, 15.461159706115723]","[89.75823974609375, 89.75475311279297, 15.476393699645996]","[103.96371459960938, 93.79679107666016, 15.664257049560547]","[82.97744750976562, 98.10942840576172, 15.89956283569336]","[83.73995971679688, 99.75125122070312, 15.484323501586914]"
