time,PX4_0_position,PX4_1_position,PX4_2_position,PX4_3_position,PX4_4_position,PX4_5_position,PX4_6_position,PX4_7_position,PX4_8_position,PX4_9_position,PX4_10_position
4.863739013671875e-05,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
0.05023479461669922,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[82.98174285888672, 98.11140441894531, -0.5385019779205322]","[99.22537231445312, 84.7750244140625, 15.853996276855469]"
0.10335063934326172,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[13.851553916931152, -3.829091787338257, 15.518036842346191]","[84.79800415039062, 84.79447937011719, -0.5433522462844849]","[None, None, None]","[None, None, None]","[82.98174285888672, 98.11140441894531, -0.5385019779205322]","[99.22537231445312, 84.7750244140625, 15.853996276855469]"
0.16914820671081543,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[13.851553916931152, -3.829091787338257, 15.518036842346191]","[84.79800415039062, 84.79447937011719, -0.5433522462844849]","[89.75823974609375, 89.75475311279297, -0.5433511734008789]","[98.74411010742188, 99.28515625, 15.869528770446777]","[82.98174285888672, 98.11140441894531, -0.5385019779205322]","[99.22537231445312, 84.7750244140625, 15.853996276855469]"
0.20020556449890137,"[None, None, None]","[None, None, None]","[-0.2297961413860321, 15.240424156188965, 15.881454467773438]","[None, None, None]","[None, None, None]","[13.851553916931152, -3.829091787338257, 15.518036842346191]","[84.79800415039062, 84.79447937011719, -0.5433522462844849]","[89.75823974609375, 89.75475311279297, -0.5433511734008789]","[98.74411010742188, 99.28515625, 15.869528770446777]","[82.98174285888672, 98.11140441894531, -0.5385019779205322]","[99.22563934326172, 84.77490234375, 15.853996276855469]"
0.2502310276031494,"[None, None, None]","[None, None, None]","[-0.2297961413860321, 15.240424156188965, 15.881454467773438]","[None, None, None]","[3.9479057788848877, 1.059228539466858, 15.604875564575195]","[13.435640335083008, -3.4154295921325684, 15.51784610748291]","[84.79800415039062, 84.79447937011719, -0.5433522462844849]","[89.75823974609375, 89.75475311279297, -0.5433511734008789]","[98.74407196044922, 99.2851333618164, 15.869528770446777]","[82.98174285888672, 98.11140441894531, -0.5385019779205322]","[99.22584533691406, 84.77482604980469, 15.853996276855469]"
0.30024218559265137,"[-0.27689695358276367, 0.27443113923072815, 15.868134498596191]","[-0.23192954063415527, 10.235068321228027, 15.857455253601074]","[-0.22563719749450684, 15.236268997192383, 15.881420135498047]","[-0.28313231468200684, 20.282743453979492, 15.764787673950195]","[4.053515434265137, 0.9619482159614563, 15.601625442504883]","[13.186084747314453, -3.167226552963257, 15.517731666564941]","[84.79800415039062, 84.79447937011719, -0.5433522462844849]","[89.75823974609375, 89.75475311279297, -0.5433511734008789]","[98.74407196044922, 99.2851333618164, 15.869528770446777]","[82.98174285888672, 98.11140441894531, -0.5385019779205322]","[99.22584533691406, 84.77482604980469, 15.853996276855469]"
0.35022878646850586,"[-0.27689695358276367, 0.27443113923072815, 15.868134498596191]","[-0.23192954063415527, 10.235068321228027, 15.857455253601074]","[-0.22563719749450684, 15.236268997192383, 15.881420135498047]","[-0.28313231468200684, 20.282743453979492, 15.764787673950195]","[4.053515434265137, 0.9619482159614563, 15.601625442504883]","[13.186084747314453, -3.167226552963257, 15.517731666564941]","[84.79800415039062, 84.79447937011719, -0.5433522462844849]","[89.75823974609375, 89.75475311279297, -0.5433511734008789]","[98.7440185546875, 99.2851333618164, 15.869528770446777]","[82.98174285888672, 98.11140441894531, -0.5385019779205322]","[99.22596740722656, 84.7747802734375, 15.853996276855469]"
0.400357723236084,"[-0.2757812440395355, 0.2745031714439392, 15.868134498596191]","[-0.23238065838813782, 10.235453605651855, 15.857455253601074]","[-0.22170287370681763, 15.232182502746582, 15.881349563598633]","[-0.3093640208244324, 20.306421279907227, 15.765570640563965]","[4.180552959442139, 0.845019519329071, 15.604240417480469]","[12.946922302246094, -2.929370164871216, 15.517621994018555]","[84.79800415039062, 84.79447937011719, -0.5433522462844849]","[89.75823974609375, 89.75475311279297, -0.5433511734008789]","[98.7440185546875, 99.2851333618164, 15.869528770446777]","[82.98174285888672, 98.11140441894531, -0.5385019779205322]","[99.22596740722656, 84.7747802734375, 15.853996276855469]"
0.45031213760375977,"[-0.2746337950229645, 0.2743908762931824, 15.868134498596191]","[-0.23279207944869995, 10.235800743103027, 15.857455253601074]","[-0.21997253596782684, 15.230302810668945, 15.881303787231445]","[-0.32792723178863525, 20.323148727416992, 15.765974044799805]","[4.180552959442139, 0.845019519329071, 15.604240417480469]","[12.946922302246094, -2.929370164871216, 15.517621994018555]","[84.79800415039062, 84.79447937011719, -0.5433522462844849]","[89.75823974609375, 89.75475311279297, -0.5433511734008789]","[98.74397277832031, 99.2851333618164, 15.869528770446777]","[82.98174285888672, 98.11140441894531, -0.5385019779205322]","[99.22611999511719, 84.7747802734375, 15.853996276855469]"
