time,PX4_0_position,PX4_1_position,PX4_2_position,PX4_3_position,PX4_4_position,PX4_5_position,PX4_6_position,PX4_7_position,PX4_8_position,PX4_9_position,PX4_10_position
4.38690185546875e-05,"[None, None, None]","[-7.985180516811852e-09, 0.06687499582767487, 10.118728637695312]","[5.423708438873291, -9.461596488952637, 6.738242149353027]","[6.586763858795166, -19.587207794189453, 4.89306640625]","[7.967455863952637, -29.745710372924805, 5.921541213989258]","[None, None, None]","[None, None, None]","[None, None, None]","[97.71638488769531, 98.78540802001953, 16.487563133239746]","[93.0015869140625, 102.5074462890625, 10.292248725891113]","[99.3460464477539, 95.44791412353516, 9.849837303161621]"
0.050212860107421875,"[None, None, None]","[-7.985180516811852e-09, 0.06687499582767487, 10.118728637695312]","[5.423708438873291, -9.461596488952637, 6.738242149353027]","[6.586763858795166, -19.587207794189453, 4.89306640625]","[7.967455863952637, -29.745710372924805, 5.921541213989258]","[10.0, -39.54690933227539, 4.899898052215576]","[86.99435424804688, 86.99376678466797, 13.257421493530273]","[92.30471801757812, 92.30462646484375, 12.926674842834473]","[97.69056701660156, 98.7813949584961, 16.3247652053833]","[92.63963317871094, 102.3481216430664, 10.523123741149902]","[99.33309173583984, 95.0570297241211, 10.056889533996582]"
0.10164213180541992,"[None, None, None]","[3.1783784493200073e-09, 0.5607763528823853, 10.381072998046875]","[5.423708438873291, -9.461596488952637, 6.738242149353027]","[6.586763858795166, -19.587207794189453, 4.89306640625]","[7.967455863952637, -29.745710372924805, 5.921541213989258]","[10.0, -39.54690933227539, 4.899898052215576]","[86.99435424804688, 86.99376678466797, 13.257421493530273]","[92.30471801757812, 92.30462646484375, 12.926674842834473]","[97.69056701660156, 98.7813949584961, 16.3247652053833]","[92.63963317871094, 102.3481216430664, 10.523123741149902]","[99.33309173583984, 95.0570297241211, 10.056889533996582]"
0.15022659301757812,"[None, None, None]","[3.1783784493200073e-09, 0.5607763528823853, 10.381072998046875]","[5.336812496185303, -9.068761825561523, 6.876981735229492]","[6.519503116607666, -19.181503295898438, 4.999942302703857]","[7.90799617767334, -29.147916793823242, 6.111441612243652]","[10.0, -38.938682556152344, 5.060724258422852]","[86.7015609741211, 86.70042419433594, 13.569633483886719]","[92.30471801757812, 92.30462646484375, 12.926674842834473]","[97.69056701660156, 98.7813949584961, 16.3247652053833]","[92.63963317871094, 102.3481216430664, 10.523123741149902]","[99.33309173583984, 95.0570297241211, 10.056889533996582]"
0.2001969814300537,"[None, None, None]","[1.18097087664637e-08, 0.9116454720497131, 10.567419052124023]","[5.234903335571289, -8.608263969421387, 7.0396409034729]","[6.440629959106445, -18.705915451049805, 5.125303745269775]","[7.90799617767334, -29.147916793823242, 6.111441612243652]","[10.0, -38.938682556152344, 5.060724258422852]","[86.7015609741211, 86.70042419433594, 13.569633483886719]","[92.01187133789062, 92.0112075805664, 13.23907470703125]","[97.6854019165039, 98.78087615966797, 16.161059379577637]","[92.07939147949219, 102.10147094726562, 10.880449295043945]","[99.3179931640625, 94.6011962890625, 10.298406600952148]"
0.2504727840423584,"[None, None, None]","[1.18097087664637e-08, 0.9116454720497131, 10.567419052124023]","[5.234903335571289, -8.608263969421387, 7.0396409034729]","[6.440629959106445, -18.705915451049805, 5.125303745269775]","[7.880332946777344, -28.869901657104492, 6.199770450592041]","[10.0, -38.65582275390625, 5.135539531707764]","[86.45895385742188, 86.45738983154297, 13.828164100646973]","[91.76923370361328, 91.76811981201172, 13.49777603149414]","[97.69976043701172, 98.78355407714844, 16.045571327209473]","[91.89269256591797, 102.0192642211914, 10.999518394470215]","[99.30763244628906, 94.28874969482422, 10.463991165161133]"
0.30072712898254395,"[None, None, None]","[1.993765863517183e-08, 1.2235107421875, 10.733022689819336]","[5.183935642242432, -8.378034591674805, 7.120965003967285]","[6.3849406242370605, -18.370237350463867, 5.213825702667236]","[7.84713077545166, -28.536293029785156, 6.3057708740234375]","[10.0, -38.3163948059082, 5.225329399108887]","[86.3334732055664, 86.3316879272461, 13.961774826049805]","[91.57681274414062, 91.5753402709961, 13.702865600585938]","[97.7220687866211, 98.78749084472656, 15.966097831726074]","[91.89269256591797, 102.0192642211914, 10.999518394470215]","[99.30763244628906, 94.28874969482422, 10.463991165161133]"
0.3502471446990967,"[None, None, None]","[2.810594068591854e-08, 1.5223461389541626, 10.891694068908691]","[5.114961624145508, -8.066564559936523, 7.230988025665283]","[6.347806930541992, -18.146482467651367, 5.272852897644043]","[7.812533378601074, -28.18882179260254, 6.416194438934326]","[10.0, -37.96281814575195, 5.318870544433594]","[86.3334732055664, 86.3316879272461, 13.961774826049805]","[91.57681274414062, 91.5753402709961, 13.702865600585938]","[97.7220687866211, 98.78749084472656, 15.966097831726074]","[91.62433624267578, 101.9011001586914, 11.170639038085938]","[99.30116271972656, 94.09349060058594, 10.567472457885742]"
0.4002537727355957,"[None, None, None]","[2.810594068591854e-08, 1.5223461389541626, 10.891694068908691]","[5.114961624145508, -8.066564559936523, 7.230988025665283]","[6.347806930541992, -18.146482467651367, 5.272852897644043]","[7.812533378601074, -28.18882179260254, 6.416194438934326]","[10.0, -37.96281814575195, 5.318870544433594]","[86.12430572509766, 86.12218475341797, 14.184196472167969]","[91.43457794189453, 91.43286895751953, 13.854376792907715]","[97.75933074951172, 98.7939224243164, 15.885224342346191]","[91.30935668945312, 101.76239013671875, 11.371472358703613]","[99.28949737548828, 93.74213409423828, 10.753707885742188]"
0.45108628273010254,"[None, None, None]","[3.928205316583444e-08, 1.9121313095092773, 11.098615646362305]","[5.024965286254883, -7.66033411026001, 7.374491214752197]","[6.278162479400635, -17.726957321166992, 5.3835577964782715]","[7.783463001251221, -27.896947860717773, 6.508950233459473]","[10.0, -37.524417877197266, 5.434873104095459]","[85.8648910522461, 85.86238861083984, 14.459406852722168]","[91.1751937866211, 91.17305755615234, 14.130324363708496]","[97.75933074951172, 98.7939224243164, 15.885224342346191]","[91.30935668945312, 101.76239013671875, 11.371472358703613]","[99.28949737548828, 93.74213409423828, 10.753707885742188]"
0.5020530223846436,"[None, None, None]","[4.6646366769209635e-08, 2.1589720249176025, 11.22964096069336]","[4.967947959899902, -7.403068542480469, 7.465371608734131]","[6.217783451080322, -17.363407135009766, 5.479525089263916]","[7.747459411621094, -27.535614013671875, 6.623790740966797]","[10.0, -37.524417877197266, 5.434873104095459]","[85.8648910522461, 85.86238861083984, 14.459406852722168]","[91.1751937866211, 91.17305755615234, 14.130324363708496]","[97.7957534790039, 98.80015563964844, 15.830782890319824]","[91.06438446044922, 101.65451049804688, 11.527633666992188]","[99.27654266357422, 93.35182189941406, 10.960602760314941]"
0.5502634048461914,"[None, None, None]","[5.624390553293779e-08, 2.470754384994507, 11.395121574401855]","[4.967947959899902, -7.403068542480469, 7.465371608734131]","[6.217783451080322, -17.363407135009766, 5.479525089263916]","[7.747459411621094, -27.535614013671875, 6.623790740966797]","[10.0, -37.298160552978516, 5.494749069213867]","[85.73096466064453, 85.72830200195312, 14.601118087768555]","[90.97433471679688, 90.97190856933594, 14.343562126159668]","[97.84437561035156, 98.80841827392578, 15.776823043823242]","[90.78445434570312, 101.53121948242188, 11.706071853637695]","[99.27006530761719, 93.15670013427734, 11.064035415649414]"
0.600679874420166,"[None, None, None]","[5.624390553293779e-08, 2.470754384994507, 11.395121574401855]","[4.895905017852783, -7.078112602233887, 7.580165386199951]","[6.178293704986572, -17.125722885131836, 5.542285442352295]","[7.711441516876221, -27.174293518066406, 6.738630771636963]","[10.0, -36.93049240112305, 5.592054843902588]","[85.51326751708984, 85.5103530883789, 14.830734252929688]","[90.82367706298828, 90.82105255126953, 14.503192901611328]","[97.90438079833984, 98.81854248046875, 15.72744083404541]","[90.481201171875, 101.39767456054688, 11.899337768554688]","[99.27006530761719, 93.15670013427734, 11.064035415649414]"
0.6502234935760498,"[None, None, None]","[6.698715537822864e-08, 2.808520555496216, 11.574359893798828]","[4.817830562591553, -6.726113319396973, 7.704514503479004]","[6.117880344390869, -16.762218475341797, 5.6382880210876465]","[7.711441516876221, -27.174293518066406, 6.738630771636963]","[10.0, -36.93049240112305, 5.592054843902588]","[85.51326751708984, 85.5103530883789, 14.830734252929688]","[90.82367706298828, 90.82105255126953, 14.503192901611328]","[97.90438079833984, 98.81854248046875, 15.72744083404541]","[90.481201171875, 101.39767456054688, 11.899337768554688]","[99.25882720947266, 92.81853485107422, 11.243298530578613]"
0.7012462615966797,"[None, None, None]","[6.698715537822864e-08, 2.808520555496216, 11.574359893798828]","[4.817830562591553, -6.726113319396973, 7.704514503479004]","[6.117880344390869, -16.762218475341797, 5.6382880210876465]","[7.687882900238037, -26.93804359436035, 6.813718795776367]","[10.0, -36.52040100097656, 5.700592994689941]","[85.2704086303711, 85.26727294921875, 15.07487964630127]","[90.58086395263672, 90.57796478271484, 14.759660720825195]","[97.95757293701172, 98.8274917602539, 15.693818092346191]","[90.23626708984375, 101.28980255126953, 12.055402755737305]","[99.24974060058594, 92.54544830322266, 11.388066291809082]"
0.7502357959747314,"[None, None, None]","[7.762888998286144e-08, 3.133293390274048, 11.746679306030273]","[4.742732048034668, -6.387656211853027, 7.824079990386963]","[6.024892330169678, -16.20305061340332, 5.786016941070557]","[7.632427215576172, -26.382213592529297, 6.990396499633789]","[10.0, -36.52040100097656, 5.700592994689941]","[85.2704086303711, 85.26727294921875, 15.07487964630127]","[90.58086395263672, 90.57796478271484, 14.759660720825195]","[97.95757293701172, 98.8274917602539, 15.693818092346191]","[90.23626708984375, 101.28980255126953, 12.055402755737305]","[99.24974060058594, 92.54544830322266, 11.388066291809082]"
0.8002128601074219,"[None, None, None]","[7.762888998286144e-08, 3.133293390274048, 11.746679306030273]","[4.742732048034668, -6.387656211853027, 7.824079990386963]","[6.024892330169678, -16.20305061340332, 5.786016941070557]","[7.632427215576172, -26.382213592529297, 6.990396499633789]","[10.0, -36.124454498291016, 5.805398464202881]","[85.03620910644531, 85.03288269042969, 15.275590896606445]","[90.27095794677734, 90.26776885986328, 15.078056335449219]","[98.05941009521484, 98.84452819824219, 15.646706581115723]","[89.80473327636719, 101.0997543334961, 12.33031940460205]","[99.24974060058594, 92.54544830322266, 11.388066291809082]"
0.8502333164215088,"[None, None, None]","[9.254294752736314e-08, 3.5749852657318115, 11.980998039245605]","[4.640556335449219, -5.927390098571777, 7.986675262451172]","[5.980704307556152, -15.937458038330078, 5.856201171875]","[7.592199325561523, -25.979259490966797, 7.11848783493042]","[10.0, -35.71441650390625, 5.9139509201049805]","[85.03620910644531, 85.03288269042969, 15.275590896606445]","[90.27095794677734, 90.26776885986328, 15.078056335449219]","[98.05941009521484, 98.84452819824219, 15.646706581115723]","[89.80473327636719, 101.0997543334961, 12.33031940460205]","[99.23374938964844, 92.06436920166016, 11.64309310913086]"
0.9095673561096191,"[None, None, None]","[1.056192431292402e-07, 3.951723575592041, 12.180825233459473]","[4.553369522094727, -5.534833908081055, 8.125354290008545]","[5.980704307556152, -15.937458038330078, 5.856201171875]","[7.592199325561523, -25.979259490966797, 7.11848783493042]","[10.0, -35.71441650390625, 5.9139509201049805]","[84.79712677001953, 84.7935562133789, 15.447938919067383]","[90.10353088378906, 90.10023498535156, 15.229113578796387]","[98.14754486083984, 98.85919952392578, 15.618471145629883]","[89.45487976074219, 100.94566345214844, 12.553174018859863]","[99.22075653076172, 91.67436218261719, 11.849833488464355]"
